,Cells/Single Cells/APCs | Geometric Mean (Comp-BV605-A),Cells/Single Cells/APCs | Geometric Mean (Comp-FITC-A),Cells/Single Cells/APCs | Geometric Mean (Comp-PE ( 561 )-A),Cells/Single Cells/APCs | Count,Cells/Single Cells/APCs/CD86+ | Freq. of Parent (%),Cells/Single Cells/APCs/H2Kb+ | Freq. of Parent (%),Cells/Single Cells/APCs/PDL1+ | Freq. of Parent (%),Cells/Single Cells/TCells | Count,Cells/Single Cells/TCells | Geometric Mean (Comp-BUV737-A),Cells/Single Cells/TCells | Geometric Mean (Comp-BV605-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-CF594-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-Cy7-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PerCP-Cy5-5-A),Cells/Single Cells/TCells/CD27+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD54+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD69+ | Freq. of Parent (%),Cells/Single Cells/TCells/PDL1+ | Freq. of Parent (%),
Specimen_001_C11_C11_035.fcs,3347,10892,1517,7925,95.5,67.8,66.5,176,1206,1138,1936,1889,16.2,60.8,76.7,46.0,46.0,
Specimen_001_C12_C12_036.fcs,3000,11640,1335,13384,96.7,64.0,57.8,165,619,1218,173,712,19.5,30.9,45.5,20.6,56.4,
Specimen_001_D1_D01_037.fcs,7997,10730,2474,9019,96.0,80.5,94.3,19242,8027,2015,10701,5975,80.2,91.8,98.3,85.3,91.2,
Specimen_001_D2_D02_038.fcs,5935,11524,3451,26815,97.2,87.0,88.6,15479,749,1236,7102,4806,7.41,92.0,98.7,25.5,62.3,
Specimen_001_D3_D03_039.fcs,3063,10698,1355,15057,96.5,61.0,58.3,22857,292,911,3365,4219,-1.14,83.0,99.4,8.44,34.4,
Specimen_001_D4_D04_040.fcs,1017,12823,122,21315,97.9,2.27,3.04,15287,129,239,5522,2597,-1.32,90.5,98.7,1.31,1.58,
Specimen_001_D5_D05_041.fcs,2225,11578,655,17183,97.6,30.8,38.4,2295,5326,1697,6714,5652,12.5,92.1,98.3,73.4,79.9,
Specimen_001_D6_D06_042.fcs,1413,12612,638,38238,98.0,31.2,14.3,2217,838,1062,6352,3961,8.85,87.8,94.6,28.1,49.7,
Specimen_001_D7_D07_043.fcs,1224,10959,238,15498,96.5,9.03,9.69,2000,259,457,4371,2668,0.10,85.5,94.2,7.95,6.60,
Specimen_001_D8_D08_044.fcs,995,12393,90.1,22368,97.5,1.38,2.92,1930,200,272,3701,2066,0.51,83.5,90.7,5.85,3.11,
Specimen_001_D9_D09_045.fcs,1130,11651,175,17952,97.0,4.85,5.83,293,902,705,1743,1918,9.23,62.5,74.7,30.7,23.5,
Specimen_001_D10_D10_046.fcs,977,12776,227,39947,98.0,7.65,2.87,299,816,671,1213,1210,9.76,47.8,59.5,31.8,18.4,
Specimen_001_D11_D11_047.fcs,1115,11503,125,13979,96.4,2.25,5.90,257,540,502,2020,1702,9.08,63.0,75.5,19.5,13.6,
Specimen_001_D12_D12_048.fcs,1009,12388,95.0,23115,96.4,1.48,3.14,447,597,554,701,803,10.9,40.0,49.0,28.4,16.3,
Specimen_001_E1_E01_049.fcs,7512,10989,1959,11120,95.0,74.5,93.5,24327,2703,1344,8382,5449,11.9,91.4,99.6,59.8,66.0,
Specimen_001_E2_E02_050.fcs,4714,11528,2467,35443,96.4,81.7,83.2,17897,464,1077,4983,4436,2.74,88.6,99.0,15.4,49.3,
Specimen_001_E3_E03_051.fcs,1996,11181,559,14379,96.3,26.9,32.4,22958,291,833,3329,4006,0.13,80.6,99.3,8.87,26.5,
Specimen_001_E4_E04_052.fcs,900,12254,49.5,23054,97.2,0.57,2.30,16589,123,236,4102,2539,0.12,87.2,98.3,1.62,1.64,
Specimen_001_E5_E05_053.fcs,1273,11315,180,19499,96.2,6.84,13.6,2605,947,967,5612,3841,5.32,87.4,96.4,31.0,36.8,
Specimen_001_E6_E06_054.fcs,1211,11807,382,34667,97.2,16.7,8.94,2233,318,867,4333,3269,2.88,83.4,93.6,8.91,30.5,
Specimen_001_E7_E07_055.fcs,1065,10518,123,14712,95.4,3.58,6.17,1876,206,381,4181,2675,1.34,84.4,94.6,5.70,4.21,
Specimen_001_E8_E08_056.fcs,917,11763,43.1,22071,96.2,0.40,2.47,1843,159,254,3281,1999,0.97,83.0,92.8,3.80,2.22,
Specimen_001_E9_E09_057.fcs,1037,11379,71.7,16307,96.3,1.43,4.73,263,617,456,1038,1521,8.33,46.8,70.3,21.7,7.98,
Specimen_001_E10_E10_058.fcs,890,12034,100,40218,97.0,1.75,2.06,378,795,594,658,674,10.9,32.5,39.2,31.2,16.9,
Specimen_001_E11_E11_059.fcs,1029,10254,91.6,14345,94.3,1.93,4.85,280,528,590,1519,1347,6.19,55.7,64.6,25.4,15.4,
Specimen_001_E12_E12_060.fcs,929,11683,49.7,24521,95.4,0.56,2.83,521,642,551,529,661,12.4,31.7,40.1,26.7,14.2,
Specimen_001_F1_F01_061.fcs,3885,10904,726,12465,93.5,36.6,71.9,24001,801,1044,4918,4717,2.36,84.0,99.6,28.6,45.7,
Specimen_001_F2_F02_062.fcs,3352,10840,1187,33421,94.6,56.8,63.6,17835,405,1026,3871,4073,1.23,83.9,98.5,13.2,44.4,
Specimen_001_F3_F03_063.fcs,1741,10011,276,18723,94.0,11.4,26.9,22907,244,727,1923,3558,-0.74,65.4,98.7,6.71,16.0,
Specimen_001_F4_F04_064.fcs,837,11848,25.4,22426,96.2,0.26,1.62,16695,123,233,3164,2497,-1.02,82.5,98.0,1.50,1.43,
Specimen_001_F5_F05_065.fcs,1368,10478,169,19293,94.6,6.47,16.7,2566,370,816,2009,3540,-0.39,65.7,96.9,11.3,24.6,
Specimen_001_F6_F06_066.fcs,872,11152,97.5,38493,96.6,2.58,2.67,1934,252,518,1987,2464,1.09,64.6,91.3,6.67,6.83,
Specimen_001_F7_F07_067.fcs,940,10289,38.5,19778,94.9,0.54,3.62,2151,229,373,2463,2382,-0.46,73.7,92.3,6.56,3.63,
Specimen_001_F8_F08_068.fcs,842,11218,21.9,26320,96.0,0.16,2.02,1767,227,291,1843,1694,1.46,68.1,84.4,8.15,3.06,
Specimen_001_F9_F09_069.fcs,983,10939,33.1,14346,95.4,0.42,4.26,262,491,457,797,1231,14.4,42.0,64.1,18.3,12.2,
Specimen_001_F10_F10_070.fcs,821,11489,31.9,41979,96.0,0.36,1.34,370,633,546,692,763,7.76,36.5,45.9,19.2,12.7,
Specimen_001_F11_F11_071.fcs,942,9956,30.1,13890,93.7,0.17,3.82,270,453,387,1275,1210,2.48,54.4,66.3,17.0,6.67,
Specimen_001_F12_F12_072.fcs,877,10233,20.4,25486,92.5,0.12,1.90,619,545,529,282,573,9.29,24.6,37.3,17.4,10.7,
Specimen_001_G1_G01_073.fcs,1598,9916,99.6,13517,92.3,3.22,25.9,22665,583,830,4029,3885,-1.28,79.9,99.1,20.9,26.5,
Specimen_001_G2_G02_074.fcs,1003,10849,81.2,40071,95.4,2.09,6.29,15304,240,601,3145,3094,-0.87,78.9,98.1,6.25,11.7,
Specimen_001_G3_G03_075.fcs,872,10312,27.5,16906,94.8,0.25,2.71,16607,122,268,905,2590,-0.56,37.4,98.4,1.81,1.66,
Specimen_001_G4_G04_076.fcs,788,11263,15.4,25335,95.3,0.039,1.48,17073,126,233,2853,2373,-1.22,77.6,97.8,1.44,1.36,
Specimen_001_G5_G05_077.fcs,1001,10509,41.1,21180,94.1,1.33,7.27,2366,351,604,628,2827,1.77,24.3,94.3,10.8,9.51,
Specimen_001_G6_G06_078.fcs,779,11004,17.3,46479,95.2,0.20,1.67,1919,224,401,2585,1984,-0.34,73.6,88.9,4.48,3.54,
Specimen_001_G7_G07_079.fcs,837,9754,15.0,21258,92.7,0.019,2.17,1912,195,266,2339,1965,0.26,69.2,89.6,5.07,2.72,
Specimen_001_G8_G08_080.fcs,785,10941,11.4,25523,94.5,0.031,1.55,1993,212,274,1861,1731,0.44,64.2,86.5,5.32,2.16,
Specimen_001_G9_G09_081.fcs,838,9895,14.7,20414,93.4,0.015,2.02,293,448,437,418,839,8.59,26.6,51.2,11.3,5.12,
Specimen_001_G10_G10_082.fcs,768,10752,15.1,41555,94.1,0.082,0.99,347,517,446,648,662,8.93,33.7,41.5,13.3,3.46,
Specimen_001_G11_G11_083.fcs,860,9041,20.5,14647,92.3,0.020,2.80,281,433,400,1037,1072,8.06,45.2,60.1,17.1,4.98,
Specimen_001_G12_G12_084.fcs,805,9185,11.9,24458,89.2,4.09E-3,1.72,549,459,474,386,628,6.91,28.1,41.0,10.7,6.01,
Specimen_001_H1_H01_085.fcs,818,9678,16.4,12273,90.7,0.016,1.78,17903,125,233,3213,2344,-1.72,76.1,98.0,1.08,1.18,
Specimen_001_H2_H02_086.fcs,718,10462,13.6,41566,93.5,4.81E-3,0.72,15069,143,258,2361,2200,-1.15,69.8,96.8,2.02,2.16,
Specimen_001_H3_H03_087.fcs,814,9523,25.9,15286,91.9,0.013,1.54,15400,118,232,621,2363,-0.068,24.4,98.1,1.89,1.06,
Specimen_001_H4_H04_088.fcs,776,10653,20.1,25048,92.6,3.99E-3,1.07,15784,129,238,2273,2237,-0.56,69.1,97.0,1.65,1.30,
Specimen_001_H5_H05_089.fcs,821,9826,15.5,20866,91.3,0.062,2.20,2024,164,300,1010,1897,0.29,42.7,90.2,2.82,1.88,
Specimen_001_H6_H06_090.fcs,715,10291,8.53,45683,92.6,0.013,0.83,2119,196,280,1345,1529,1.21,53.0,83.1,2.60,2.03,
Specimen_001_H7_H07_091.fcs,803,8381,13.2,19270,88.2,0.010,1.72,2126,184,273,2056,1810,1.48,64.5,88.1,3.81,2.68,
Specimen_001_H8_H08_092.fcs,782,9760,20.4,26423,90.4,3.78E-3,1.41,1926,238,290,1270,1599,1.83,49.8,81.9,7.11,1.66,
Specimen_001_H9_H09_093.fcs,811,8696,18.7,19666,88.6,0,1.69,413,428,416,576,769,5.99,32.4,45.8,7.99,2.18,
Specimen_001_H10_H10_094.fcs,740,9379,17.1,33869,89.6,2.95E-3,1.28,557,582,471,323,497,9.31,19.0,30.2,15.3,2.87,
Specimen_001_H11_H11_095.fcs,843,8456,20.6,15192,88.4,0.013,2.28,284,433,387,873,1083,4.15,41.2,62.3,14.8,3.52,
Specimen_001_H12_H12_096.fcs,792,8532,18.9,22656,85.5,0.013,1.51,673,561,481,160,477,10.4,13.7,28.8,15.3,2.97,
Mean,4228,11443,3405,18127,94.8,40.8,41.9,7167,2431,951,5634,3433,18.5,70.4,85.4,28.8,33.2,
SD,4691,1464,5172,11295,2.59,43.1,41.6,8720,5115,768,7316,2585,41.0,23.0,19.8,30.0,33.4,
