,Cells/Single Cells/APCs | Geometric Mean (Comp-BV605-A),Cells/Single Cells/APCs | Geometric Mean (Comp-FITC-A),Cells/Single Cells/APCs | Geometric Mean (Comp-PE ( 561 )-A),Cells/Single Cells/APCs | Count,Cells/Single Cells/APCs/CD86+ | Freq. of Parent (%),Cells/Single Cells/APCs/H2Kb+ | Freq. of Parent (%),Cells/Single Cells/APCs/PDL1+ | Freq. of Parent (%),Cells/Single Cells/TCells | Count,Cells/Single Cells/TCells | Geometric Mean (Comp-BUV737-A),Cells/Single Cells/TCells | Geometric Mean (Comp-BV605-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-CF594-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-Cy7-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PerCP-Cy5-5-A),Cells/Single Cells/TCells/CD27+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD54+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD69+ | Freq. of Parent (%),Cells/Single Cells/TCells/PDL1+ | Freq. of Parent (%),
Specimen_001_D7_D07_043.fcs,1063,11586,294,32513,98.3,10.5,6.09,517,1479,1055,1020,1299,6.61,37.1,51.1,49.5,47.0,
Specimen_001_D8_D08_044.fcs,815,10735,25.8,40397,98.6,0.12,2.96,347,994,636,255,532,15.3,14.7,26.5,42.1,19.6,
Specimen_001_D9_D09_045.fcs,2058,12601,2407,25427,95.3,83.2,29.0,317,2520,1806,1454,1482,70.0,42.0,40.7,55.2,76.7,
Specimen_001_D10_D10_046.fcs,1035,9352,106,27436,95.9,2.82,8.27,309,1368,742,392,1609,27.8,13.3,57.6,44.3,25.2,
Specimen_001_D11_D11_047.fcs,843,10747,54.7,35435,98.1,0.91,3.30,436,1462,784,172,365,14.8,7.80,13.3,57.1,24.1,
Specimen_001_D12_D12_048.fcs,779,10653,23.4,35957,97.5,0.081,2.78,413,1042,636,85.5,390,15.6,1.94,19.1,40.9,12.8,
Specimen_001_E1_E01_049.fcs,20270,8915,19559,17079,82.4,98.5,98.1,14951,8293,1300,27935,6831,37.8,94.7,98.9,95.3,65.2,
Specimen_001_E2_E02_050.fcs,18693,10274,6258,16196,95.8,96.2,98.4,4489,3230,2017,7862,7894,11.9,90.9,98.8,67.3,92.0,
Specimen_001_E3_E03_051.fcs,8016,10944,4357,17946,96.9,95.2,95.4,5710,973,1607,6980,5214,-3.06,93.0,97.9,35.4,86.8,
Specimen_001_E4_E04_052.fcs,770,10427,23.6,38156,98.5,0.092,2.43,1046,471,470,759,1815,6.30,35.5,74.0,16.9,11.9,
Specimen_001_E5_E05_053.fcs,8787,10541,9013,16994,92.6,97.9,96.2,1525,6883,1353,10346,4373,11.6,84.1,86.0,88.7,56.5,
Specimen_001_E6_E06_054.fcs,1365,9150,300,23407,96.8,10.3,15.1,418,901,862,1198,1899,8.41,44.7,69.9,31.3,35.4,
Specimen_001_E7_E07_055.fcs,1256,10644,389,27437,98.0,15.3,11.3,452,1790,1268,1431,1802,5.56,45.1,60.8,56.0,61.5,
Specimen_001_E8_E08_056.fcs,817,10632,31.9,28446,98.4,0.45,3.35,230,1008,620,223,539,11.3,11.3,29.1,41.7,15.7,
Specimen_001_E9_E09_057.fcs,1191,10786,352,24674,96.1,15.3,9.33,207,1574,1072,453,630,20.2,20.8,21.3,40.1,41.1,
Specimen_001_E10_E10_058.fcs,911,8740,25.5,30515,96.3,0.062,4.79,246,822,590,92.3,617,17.1,2.03,35.0,25.6,16.3,
Specimen_001_E11_E11_059.fcs,1017,10477,156,26111,95.5,3.98,5.97,362,1010,810,108,334,11.8,6.35,11.3,37.3,25.7,
Specimen_001_E12_E12_060.fcs,778,9741,22.1,31129,95.9,0.029,2.88,555,942,596,102,503,16.7,1.08,28.5,29.7,9.73,
Specimen_001_F1_F01_061.fcs,20254,6995,18458,18347,77.0,98.5,98.2,14157,9168,1441,24721,6841,26.5,94.6,98.0,94.8,71.9,
Specimen_001_F2_F02_062.fcs,11341,9551,3223,16371,94.7,87.5,96.0,4742,2392,1432,7568,6443,8.98,90.6,97.1,60.0,71.6,
Specimen_001_F3_F03_063.fcs,9344,10153,7035,14599,92.9,97.7,96.7,5472,1154,1707,6591,4538,-4.29,91.2,96.2,40.0,89.5,
Specimen_001_F4_F04_064.fcs,769,10424,20.9,27970,98.2,0.036,2.65,765,483,464,507,1436,6.85,25.2,67.2,16.6,11.1,
Specimen_001_F5_F05_065.fcs,3586,10684,1300,21697,97.9,60.2,64.0,559,9282,2333,2355,3195,13.3,65.7,74.1,83.7,94.3,
Specimen_001_F6_F06_066.fcs,910,9413,39.5,29761,97.0,0.37,5.23,360,801,544,370,914,14.6,20.3,47.2,32.5,12.8,
Specimen_001_F7_F07_067.fcs,2268,10348,1296,21362,96.5,63.5,35.9,640,1224,1705,1155,1628,5.36,43.4,59.2,40.9,83.8,
Specimen_001_F8_F08_068.fcs,789,10413,18.8,29876,97.7,0.020,3.04,459,1125,606,65.5,380,12.1,5.01,19.8,49.5,10.2,
Specimen_001_F9_F09_069.fcs,860,10650,29.2,30528,96.0,0.12,3.15,372,835,638,24.0,220,14.5,0.54,3.76,21.2,7.26,
Specimen_001_F10_F10_070.fcs,914,9189,27.6,31709,97.1,0.19,5.67,241,792,601,48.3,359,12.9,2.49,18.3,22.4,14.1,
Specimen_001_F11_F11_071.fcs,816,10424,24.6,29045,97.0,0.048,2.67,274,1055,644,8.42,202,10.6,0.73,6.20,38.3,12.8,
Specimen_001_F12_F12_072.fcs,756,9952,18.8,32578,96.4,0.021,2.62,626,949,567,36.7,409,16.1,1.92,21.4,32.3,7.51,
Specimen_001_G1_G01_073.fcs,19376,8989,11935,18601,85.8,98.5,98.8,8615,10997,1577,18925,7122,7.73,94.5,96.6,94.6,79.0,
Specimen_001_G2_G02_074.fcs,2174,9092,531,17240,96.0,23.8,36.4,1553,939,1366,1870,3911,0.87,63.9,89.7,30.7,68.3,
Specimen_001_G3_G03_075.fcs,8016,9498,6332,16661,90.0,96.8,95.5,4998,840,1345,2272,3476,-2.53,65.6,94.0,31.2,70.5,
Specimen_001_G4_G04_076.fcs,771,10349,17.9,35552,98.1,0.037,2.90,1028,566,505,240,1097,8.72,11.5,55.7,17.4,10.0,
Specimen_001_G5_G05_077.fcs,1735,9757,462,23561,94.2,19.6,24.9,619,2753,1407,1161,1299,17.9,37.5,44.4,50.9,70.4,
Specimen_001_G6_G06_078.fcs,1202,9338,142,31290,97.4,3.64,11.8,411,1401,1047,1151,1734,11.7,41.4,63.5,43.3,49.6,
Specimen_001_G7_G07_079.fcs,1094,10350,151,41587,97.6,3.04,7.11,753,1135,960,180,657,9.06,6.51,28.4,43.8,38.8,
Specimen_001_G8_G08_080.fcs,766,10062,16.6,29314,97.8,3.41E-3,2.69,392,1043,624,28.9,326,14.4,5.87,15.3,44.9,12.2,
Specimen_001_G9_G09_081.fcs,818,10392,20.6,29160,96.8,0.014,3.08,261,819,622,15.3,253,12.7,0.38,6.13,20.7,9.20,
Specimen_001_G10_G10_082.fcs,799,9107,17.3,31110,96.3,9.64E-3,3.64,247,896,539,92.2,1008,22.0,1.21,48.6,25.1,10.1,
Specimen_001_G11_G11_083.fcs,787,10289,21.7,28482,97.1,0.011,2.62,267,1128,625,21.7,226,11.9,1.50,7.12,38.6,10.1,
Specimen_001_G12_G12_084.fcs,752,10134,19.1,37789,97.8,0.016,2.39,565,1102,635,86.9,372,16.1,0.88,23.9,42.3,12.4,
Specimen_001_H1_H01_085.fcs,11622,10120,2264,18617,92.0,83.7,98.3,3407,13064,1912,6349,5296,12.2,86.1,93.6,90.4,89.0,
Specimen_001_H2_H02_086.fcs,860,8442,55.6,24435,94.9,1.33,5.43,990,483,492,993,2134,6.50,40.7,84.7,16.6,15.4,
Specimen_001_H3_H03_087.fcs,2263,10058,423,24866,95.9,15.8,36.6,1757,489,848,1176,2546,2.30,44.1,86.6,19.0,29.2,
Specimen_001_H4_H04_088.fcs,740,10240,29.0,31893,97.4,0.028,2.16,1017,598,414,562,1258,8.77,22.8,65.1,25.2,4.92,
Specimen_001_H5_H05_089.fcs,814,10386,35.1,28229,97.1,0.025,2.98,280,818,535,484,831,12.0,13.9,52.5,33.2,9.29,
Specimen_001_H6_H06_090.fcs,815,8401,18.7,27976,94.1,7.15E-3,3.67,493,721,465,297,978,14.7,12.4,53.8,24.1,5.88,
Specimen_001_H7_H07_091.fcs,750,9647,19.9,36680,96.5,5.45E-3,2.48,470,830,588,223,539,13.1,8.09,27.4,29.8,12.6,
Specimen_001_H8_H08_092.fcs,735,10257,15.9,36859,97.8,2.71E-3,2.44,407,899,583,116,413,12.4,5.41,21.4,29.0,8.11,
Specimen_001_H9_H09_093.fcs,741,10033,18.7,35725,96.7,8.40E-3,1.96,383,943,572,40.7,267,13.3,1.04,9.66,29.0,2.87,
Specimen_001_H10_H10_094.fcs,807,8225,18.1,30641,94.4,6.53E-3,3.73,417,735,496,101,525,15.5,2.40,30.9,19.4,4.56,
Specimen_001_H11_H11_095.fcs,727,9539,19.9,33294,96.6,9.01E-3,2.00,494,1059,571,26.8,252,12.5,0.61,11.1,39.3,7.09,
Specimen_001_H12_H12_096.fcs,740,8684,19.2,30869,93.2,9.72E-3,2.44,853,870,521,65.8,481,17.0,1.06,30.1,29.3,4.69,
Mean,5267,12429,5045,25913,95.9,46.4,41.1,3900,2684,1039,4875,2974,25.0,45.7,62.6,53.0,42.2,
SD,6559,3482,6992,7885,3.33,45.1,40.8,8313,2796,484,6841,2713,40.3,35.4,32.7,26.2,28.6,
